node	degree	length	cluster
s2826	4	5318	3
s81947	2	82	3
s81396	2	124	1
s2236	2	63	3
s83133	2	88	1
s972	4	49680	3
s134765	2	88	3
s4729	4	24291	1
s906	2	2	1
s966	2	169	1
s105153	2	6	1
s5180	3	154	3
s104892	2	35	1
s121127	2	63	3
s3192	3	64	3
s3676	2	2273	3
s5060	2	8	3
s2840	2	90	3
s81831	2	353	3
s1967	2	15	3
s115084	3	611	1
s82778	3	226	1
s4383	2	160	3
s138265	2	562	1
s105767	3	201	3
s3874	2	312	1
s114875	4	3916	1
s121135	2	51	1
s81525	2	171	1
s3200	4	662	3
s2568	2	115	3
s2651	4	24	3
s82962	2	50	3
s81744	2	320	1
s81886	2	51	1
s4837	2	1	3
s125521	2	2	3
s140456	2	23	1
s1388	4	17787	1
s83260	2	14	1
s105779	2	10	3
s121111	2	5	1
s4068	4	40864	3
s105700	3	32	1
s105496	3	178	3
s114785	2	75	1
s129240	2	31	1
s120992	3	68	1
s120847	2	50	1
s3644	2	124	1
s3811	2	101	1
s1154	4	480	1
s83279	4	511	1
s3518	2	4856	1
s140222	2	69	1
s3170	4	12843	1
s82421	3	12	1
s455	4	183	1
s3088	3	628	3
s3373	4	318	1
s1866	4	91228	1
s5430	4	26355	1
s4344	4	117	1
s2524	4	79042	3
s83020	2	12	3
s96478	2	487	1
s1477	4	59514	3
s1773	4	24223	1
s82332	3	41	3
s105541	2	362	1
s1741	2	1	1
s81512	4	174	1
s104844	2	63	1
s5292	3	41	3
s81948	2	341	1
s577	2	121	1
s82642	2	50	1
s342	2	2	3
s2771	4	70703	1
s4208	4	54314	3
s5323	2	146	1
s81782	2	42	3
s2694	4	10035	3
s4100	4	68481	1
s140259	2	1	1
s115058	2	128	3
s1637	4	843	1
s140451	2	115	1
s82875	3	22	1
s120834	2	97	1
s114603	2	89	1
s1775	4	303371	1
s81867	2	316	1
s1516	2	308	1
s5300	5	46298	3
s1266	4	81074	1
s114965	3	16	1
s134797	5	421	1
s82896	2	72	1
s3311	4	548511	1
s4004	3	25	1
s140489	2	53	1
s81981	2	3	3
